model,display_name,seed,selected_epoch,train_loss_at_selected,train_acc_at_selected,train_f1_at_selected,val_loss_at_selected,val_acc_at_selected,val_f1_at_selected,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,params_m,train_time_sec,inference_ms
ResNet18,ResNet18,47,16,0.0017402258373442,0.9995833333333334,0.9999999999994992,0.6852387382099637,0.9211309523809524,0.921315229760565,0.95078125,0.9508302296544008,0.9510052924035954,0.9507812499999968,11.42414,1045.5011669192463,0.1896462927106768
MobileNet_V2,MobileNet_V2,47,22,0.0014319963682265,0.9994642857142856,0.9999999999994992,0.608772290636137,0.9184523809523808,0.91907767269283,0.9401041666666666,0.9402142118080502,0.9408013444676744,0.9401041666666636,2.26142,1495.3104878980666,0.3763379761949181
EfficientNet_B0,EfficientNet_B0,47,20,0.0052742178809075,0.9985119047619048,0.999940476182383,0.5880974631833235,0.9205357142857142,0.921347014689284,0.9442708333333332,0.9442709073991388,0.9446962703049996,0.9442708333333304,4.045096,1316.1795769520104,0.3126177965896204
LSTM,LSTM baseline,47,11,0.0267948010280018,0.9938690476190476,0.99755970503093,0.8409177879298416,0.8208333333333333,0.8214131314859251,0.86171875,0.8615318325458325,0.8662000766251189,0.8617187499999971,0.595724,605.8521124217659,0.0332677620463073
GRU,GRU baseline,47,9,0.0110671215114139,0.998095238095238,0.9995833330595087,0.8386433235231033,0.8330357142857143,0.8332427033267633,0.8572916666666667,0.8567921749030217,0.8630154225334098,0.8572916666666638,0.513292,594.2777130957693,0.0124922429677098
CNN_LSTM,CNN-LSTM baseline,47,14,0.0189574433792205,0.9966666666666668,0.998988029601917,0.5534186037425007,0.8922619047619048,0.892218015788281,0.9125,0.9118650413771616,0.9152509384851528,0.9124999999999972,11.500492,1396.2667529173195,0.5666616460075602
LeNet_LSTM,LeNet-LSTM baseline,47,18,0.0258006285451097,0.994345238095238,0.9955359703797372,0.596962176562686,0.8889880952380952,0.8904993102244193,0.9075520833333334,0.907838763109162,0.9124323335367132,0.9075520833333304,0.331708,629.4823078196496,0.1743749948218464
TCN,TCN baseline,47,12,0.0114298771676563,0.996904761904762,0.9998809523652672,1.3832029297094084,0.8369047619047619,0.8378692423017293,0.8390625,0.8396089910348633,0.845917074190802,0.8390624999999972,2.083724,884.5594209209085,0.0966309511568397
Transformer,Transformer baseline,47,19,0.0177194692052546,0.9945238095238096,0.9989879869799148,2.2844394196133906,0.7083333333333334,0.7062713558983003,0.7583333333333333,0.7595947402415528,0.7630785317856276,0.7583333333333308,0.259052,868.263781119138,0.0485568190924823
LeNet,LeNet-style CNN,48,20,0.0109555359326657,0.9990476190476192,0.9991666018049098,0.7094431784715978,0.8357142857142857,0.8330704997380313,0.859375,0.8585807878087692,0.8601057840549061,0.8593749999999972,0.073726,692.8178453147411,0.0134115573018789
ResNet18,ResNet18,48,13,0.0058787519804068,0.998154761904762,0.9979164390689996,0.6431792096100347,0.8973214285714286,0.8951131689549765,0.9091145833333332,0.9069691414686432,0.9162533186240442,0.9091145833333304,11.42414,1022.1377346627414,0.1858716597780585
MobileNet_V2,MobileNet_V2,48,25,0.0007464646441595,0.999702380952381,0.9999999999994992,0.6406499781477237,0.8919642857142858,0.8908939104720311,0.9174479166666668,0.9161021311671552,0.9190559959221308,0.9174479166666636,2.26142,1496.8753963820636,0.5382117757108063
EfficientNet_B0,EfficientNet_B0,48,10,0.0253919918338457,0.9923214285714286,0.9985719953567852,0.45184395658563,0.8925595238095239,0.8921144794849672,0.91640625,0.915070674986175,0.919718612518272,0.9164062499999972,4.045096,1210.8833489958197,0.2904829918406904
LSTM,LSTM baseline,48,18,0.0053678799385116,0.9992857142857144,0.9995833757359764,1.2830262732789075,0.7791666666666667,0.7766605251189382,0.7932291666666667,0.7912038129157425,0.793532726835863,0.7932291666666642,0.595724,585.0430199168622,0.019266121671535
